category,confidence,reasoning,txn_id,description
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-167,Cloud compute Q2 infra scaling - production cluster autoscaling
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-168,Office pantry restocking monthly - beverages snacks 200 staff
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-169,Loom Business annual - async video 60 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-170,GKE autopilot charges - containerised workloads monthly
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-171,Flight BOM-CDG for Paris design conference - 1 pax
Travel & Transport,0.55,Description references travel or transport (train).,TXN-172,PMP certification external training - batch 8 PMs
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-174,Sales kickoff catering day 2 - 85 team members
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-176,HRMS annual subscription - employee self-service 800 users
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-179,Bulk flight bookings annual sales kickoff - 30 tickets DEL-BLR
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-180,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-181,Personal Amazon Prime annual renewal - home account
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-183,Gym membership personal - Cult.fit annual plan
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-184,New joiner batch onboarding lunch - 30 people
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-185,Content marketing agency quarterly retainer - Q2
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-186,Quarterly leadership offsite catering - 25 senior leaders
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-187,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-188,Content marketing agency quarterly retainer - Q2
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-191,Catering for Q3 OKR setting workshop - 80 pax
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-192,Partner summit dinner - 45 external attendees gala dinner
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-193,Taj Lands End Mumbai - 2 nights partner event accommodation
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-195,Partial refund - catering shortfall Q3 offsite event
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-197,Cloudflare Teams Zero Trust annual - 500 user pack
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-198,Event sponsorship - SaaSBoomi annual conference
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-199,PR agency retainer - media relations Q1
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-200,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
Travel & Transport,0.55,Description references travel or transport (train).,TXN-201,PMP certification external training - batch 8 PMs
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-202,Legal retainer - shareholder agreement and term sheet review
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-203,Cloudflare Enterprise DDoS annual - production CDN
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-205,Cloudflare Enterprise DDoS annual - production CDN
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-206,Sales kickoff catering day 1 - 85 team members
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-207,Refund - subscription downgrade credit Slack Business to Pro
Travel & Transport,0.55,Description references travel or transport (bus).,REF-00208,Intercom Business annual - customer messaging 10 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-209,Salesforce Sales Cloud Enterprise annual - 50 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-210,Trademark registration - 5 classes brand protection
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-212,Personal Amazon Prime annual renewal - home account
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-213,Personal Amazon Prime annual renewal - home account
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-214,Notion Enterprise annual - knowledge management 150 seats
Travel & Transport,0.55,Description references travel or transport (train).,TXN-215,NVIDIA RTX 4090 - ML training workstation single build
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-217,Azure DevOps pipeline minutes - CI/CD build farm overrun
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-218,1Password Teams annual - 80 seats
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-219,Personal Netflix subscription - accidentally on corporate card
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-220,Ride to airport BLR T2 - early morning investor meeting
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-222,Annual Slack Business+ renewal - 200 seats
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",PROC-00224,Sales kickoff catering day 1 - 85 team members
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-225,Office pantry restocking monthly - beverages snacks 200 staff
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-227,Office stationery bulk order Q2 - paper pens notebooks
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-228,Salesforce Service Cloud annual - 80 agent seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-229,Dell XPS 15 - data scientist laptop 3 units
Hardware & Equipment,0.84,"Description references physical hardware or equipment (desk, chair).",TXN-230,Office furniture - 15 ergonomic chairs and 5 standing desks
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-231,Fivetran Business annual - 25 connector ELT pipeline
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-232,Zoom Workplace Pro annual renewal - 500 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-233,GKE autopilot charges - containerised workloads monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-234,Meta Ads Manager - performance marketing campaign October
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-235,DocuSign Business Pro annual - 500 envelope pack
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-238,Refund for cancelled office ergonomic chair bulk order - 20 units
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-239,Personal Swiggy order - home delivery non-business expense
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-241,All-hands team dinner Q1 wrap-up event 80 pax
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-242,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-243,Zendesk Suite Professional annual - 40 agent seats
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-245,Flight MAA-SIN for APAC sales conference - 4 pax economy
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-246,Atlassian Cloud bundle - Jira + Confluence 300 users annual
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-247,CRM enterprise license Q2 - APAC region expansion 300 users
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-250,Conrad Bengaluru - 3 nights executive team stay
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-251,Conrad Bengaluru - 3 nights executive team stay
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-252,Due diligence report - acquisition target preliminary
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-253,New Relic Full Platform annual - 100GB data ingest
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-254,Partner summit dinner - 45 external attendees gala dinner
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-257,Annual Slack Business+ renewal - 200 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-259,Grammarly Business annual - writing assistant 30 seats
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-260,Flight BOM-CDG for Paris design conference - 1 pax
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-261,Personal medical consultation - non-work-related
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-262,Lenovo ThinkPad X1 Carbon - PM team 4 units
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-263,GCP Pub/Sub message delivery - event streaming pipeline
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-264,Office pantry restocking monthly - beverages snacks 200 staff
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-265,Catering for Q3 OKR setting workshop - 80 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-266,Cisco IP phones - 30 units new office floor expansion
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-267,Catering for Q1 product roadmap planning workshop - 120 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-268,
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-269,Flight BOM-CDG for Paris design conference - 1 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-270,Google Ads campaign - Q3 brand performance spend
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-271,Four Seasons Mumbai - 2 nights suite investor presentation
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-272,Stripe processing fees - monthly statement May
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-273,Sales kickoff catering day 2 - 85 team members
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (ec2).,TXN-274,EC2 reserved instance commitment - 1yr term prod fleet upgrade
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-277,HubSpot Marketing Hub Professional annual subscription
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-279,CRM enterprise license Q3 - EMEA region expansion 150 users
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (rds).,PROC-00281,RDS Multi-AZ commitment - postgres primary and 2 read replicas
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,EXP-00282,GCP Pub/Sub message delivery - event streaming pipeline
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-284,Adobe Sign enterprise annual - 500 transaction pack
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-285,HRMS annual subscription - employee self-service 800 users
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (salesforce, license).",TXN-286,Salesforce CPQ add-on module annual license - 200 named users
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-288,AWS WAF rules monthly - bot protection production APIs
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,REF-00289,GCP Pub/Sub message delivery - event streaming pipeline
Travel & Transport,0.84,"Description references travel or transport (flight, boarding).",TXN-290,Flight CCU-BOM for Mumbai client onboarding visit
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-291,Grammarly Business annual - writing assistant 30 seats
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-293,Flight BOM-LHR for London board meeting - 1 pax business class
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-294,Flight MAA-SIN for APAC sales conference - 4 pax economy
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-295,Flight MAA-SIN for APAC sales conference - 4 pax economy
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-296,Figma Enterprise plan annual - 80 cross-functional seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-297,Adobe Sign enterprise annual - 500 transaction pack
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-298,Dell XPS 15 - data scientist laptop 3 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-300,Marriott Mumbai - 3 nights executive suite investor roadshow
Hardware & Equipment,0.55,Description references physical hardware or equipment (monitor).,TXN-302,Datadog APM annual commitment - 20 hosts infra monitoring
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-303,Conrad Bengaluru - 3 nights executive team stay
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-304,Investor roadshow dinner - 6 guests fine dining
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-306,Snowflake compute credits - data warehouse Q3 usage
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-307,Okta SSO enterprise annual - 500 user pack
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-308,Creative Cloud team subscription - invoice pending CFO approval
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-309,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Travel & Transport,0.55,Description references travel or transport (bus).,REF-00310,Personal Myntra purchase - clothing item non-business
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-311,Gym membership personal - Cult.fit annual plan
Travel & Transport,0.55,Description references travel or transport (train).,TXN-312,Radisson Blu Hyderabad - 6 nights team training programme
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-315,ClickUp Business annual - task management 100 seats
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",INV-00317,Personal Amazon Prime annual renewal - home account
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-318,Refund for cancelled office ergonomic chair bulk order - 20 units
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-320,Corporate cab account monthly - engineering late-night cabs April
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-321,Azure Blob storage - backup and DR repository monthly
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-322,Azure Blob storage - backup and DR repository monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-324,Monday.com Standard annual - project management 50 seats
Cloud Infrastructure,0.95,"Description references cloud compute/storage terms (ec2, aws, lambda).",TXN-325,AWS Lambda + EC2 reserved instances 1-year commitment - prod
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-326,Anthropic API credits - Claude Sonnet production batch
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (subscription, hubspot).",TXN-327,HubSpot Marketing Hub Professional annual subscription
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-328,Team lunch - product sprint retrospective 15 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-329,The Oberoi New Delhi - 1 night VIP guest accommodation
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (salesforce, license).",TXN-330,Salesforce CPQ add-on module annual license - 200 named users
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-331,Personal Swiggy order - home delivery non-business expense
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-332,Udemy Business annual license - 100 seat L&D platform
